產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
24JX927ODF-ZP,旅展限量｜漫遊京阪神三都.伏見稻荷大社.宇治平等院.嵐山渡月橋.大阪城.黑門市場.神戶港散策五日,True,24900.0,"自然景觀, 購物","伏見稻荷大社, 大阪, 大阪城, 宇治, 嵐山, 平等院, 神戶, 神戶港, 黑門市場","伏見稻荷大社, 大阪, 大阪城, 宇治, 嵐山, 平等院, 神戶, 神戶港, 自然景觀, 購物, 黑門市場"
24TE913TW61-T,花蓮補助│七星潭.又一村.阿美麻糬.鯉魚潭.樹屋餐廳.理想大地星巴克.台泥DAKA二日,False,2999.0,美食,"七星潭, 花蓮, 鯉魚潭","七星潭, 美食, 花蓮, 鯉魚潭"
25ED201EKC-T,"每月一物北歐四國｜挪威雙峽灣,挪威縮影景觀火車與遊船,跨國雙夜臥遊輪,維京傳說11日",True,130900.0,"火車旅遊, 自然景觀","峽灣, 挪威","峽灣, 挪威, 火車旅遊, 自然景觀"
24JKO21TRS-ZP,限量搶來首爾｜入住一晚近東大門.暢遊樂園.漢江遊船.穿韓服遊景福宮.明洞購物五日,True,9999.0,"主題樂園, 購物","明洞, 景福宮, 東大門, 首爾","主題樂園, 明洞, 景福宮, 東大門, 購物, 首爾"
24JC920C2-T,週五輕旅行｜基隆出發｜宮古島3日｜兩人陽台艙,True,23940.0,海島旅遊,基隆,"基隆, 海島旅遊"
24TS917JWA-K,高雄旅遊｜微笑南灣知性之旅｜棧貳庫海上巴士．高雄燈塔．高雄科工館1日｜大人囝仔｜台南高雄出發,False,899.0,其他,高雄,"其他, 高雄"
24EDD13BRM-T,玩樂369經典北歐夢幻極光11日｜極光狩獵、帝王蟹、極光船、破冰船、極光玻璃屋,True,196900.0,"網美打卡, 自然景觀, 雪景",,", 網美打卡, 自然景觀, 雪景"
24XMN11TK-T,"旅展折$3,000》特選埃及旅遊│神秘金字塔‧阿布辛貝神殿‧尼羅河遊輪‧紅海度假之旅10日",True,78900.0,豪華,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝","埃及, 尼羅河, 紅海, 豪華, 金字塔, 阿布辛貝"
230816008,香港自由行-港島區三、四星住宿推薦｜送上網卡,True,,海島旅遊,香港,"海島旅遊, 香港"
00315157,日月潭力麗溫德姆溫泉酒店WYNDHAM SUN MOON LAKE,True,7308.0,"溫泉之旅, 自然景觀",日月潭,"日月潭, 溫泉之旅, 自然景觀"
237054,屏東-藍皮解憂號觀光列車| 枋寮-臺東當日來回超值版(10/1-4/30),False,198.0,火車旅遊,"屏東, 臺東","屏東, 火車旅遊, 臺東"
24JKN06BXK-K,釜山慶州賞楓紅｜年度盛事～釜山國際煙火節．金井山楓紅．佛國寺紅葉．膠囊列車．樂天超市(一站購物彩妝)五日｜高雄,True,27500.0,"文化歷史, 火車旅遊, 自然景觀, 購物","佛國寺, 釜山, 高雄","佛國寺, 文化歷史, 火車旅遊, 自然景觀, 購物, 釜山, 高雄"
CA196:CA847:CA848:CA195:,台北 - 倫敦 來回,True,29186.0,其他,"倫敦, 台北","倫敦, 其他, 台北"
25jk1237cc-t,"過年折3,000｜釜山旅遊｜新春團圓澎湃長腳蟹宴.冬季限定滑雪體驗.鮮採草莓.無敵海景汗蒸幕(一站購物彩妝)五日",True,39888.0,"自然景觀, 購物, 雪景",釜山,"自然景觀, 購物, 釜山, 雪景"
24JC920F2-T,週五輕旅行｜基隆出發｜宮古島3日｜兩人全景套房,True,53900.0,海島旅遊,基隆,"基隆, 海島旅遊"
24JKO22BX9-K,釜慶邱賞楓紅｜紅流洞溪谷．佛國寺．八公山纜車．道東書院．海雲台列車．樂天超市好好逛(一站購物彩妝)五日｜高雄來回,True,23500.0,"文化歷史, 火車旅遊, 自然景觀, 購物","佛國寺, 海雲台, 高雄","佛國寺, 文化歷史, 海雲台, 火車旅遊, 自然景觀, 購物, 高雄"
230816007,香港自由行-九龍區三、四星住宿推薦｜送上網卡,True,,其他,香港,"其他, 香港"
24TM928MIL-T,苗栗旅遊｜黃澄澄的柿餅海.穿梭巷弄聽故事.有機商店中的小農鮮乳一日｜大人囝仔,False,1399.0,其他,苗栗,"其他, 苗栗"
24TN918R6P-X,北部旅遊｜２人同行享折扣｜入住五星凱撒飯店.導讀中山樓.滿月圓國家森林遊樂區二日｜中部出發,False,2999.0,"自然景觀, 豪華",,", 自然景觀, 豪華"
402026,新竹-綠世界生態農場| 門票,False,290.0,其他,新竹,"其他, 新竹"
25JK1237CC-T,"過年折3,000｜釜山旅遊｜新春團圓澎湃長腳蟹宴.冬季限定滑雪體驗.鮮採草莓.無敵海景汗蒸幕(一站購物彩妝)五日",True,39888.0,"自然景觀, 購物, 雪景",釜山,"自然景觀, 購物, 釜山, 雪景"
24TEO02TW53-T,花東旅遊｜理想大地.喜來登雙五星一泊二食.藍皮解憂號.瑞穗牧場.火車三日,False,11000.0,"火車旅遊, 豪華",瑞穗牧場,"火車旅遊, 瑞穗牧場, 豪華"
24JC908D2-T,那霸過夜｜基隆出發｜沖繩4日｜兩人套房,True,65900.0,其他,"基隆, 沖繩, 那霸","其他, 基隆, 沖繩, 那霸"
24TMN02LAG-T,南投旅遊｜年度盛事~日月潭花火節音樂會‧明潭花火‧鮮摘鮮吃百香果‧雲之鄉武界‧日月潭遊船2日,False,7699.0,藝文體驗,日月潭,"日月潭, 藝文體驗"
TWYLN028,瓏山林蘇澳冷熱泉度假飯店RSL COLD HOT SPRINGS RESORT SUAO,False,0.0,"自然景觀, 豪華",,", 自然景觀, 豪華"
247001,嘉義-2024 移動的美術館 福森號觀光列車 | 阿里山火車,False,99.0,"火車旅遊, 自然景觀, 藝文體驗","嘉義, 美術館, 阿里山","嘉義, 火車旅遊, 美術館, 自然景觀, 藝文體驗, 阿里山"
24XMO31TKN-T,特選土耳其旅遊│土航直飛一段機│5大世界文化遺產、全程五星、小番紅花城、海峽遊船8日,True,54900.0,"文化歷史, 豪華","土耳其, 小番紅花城","土耳其, 小番紅花城, 文化歷史, 豪華"
24JHN01BRB-T,限量搶北海道旅遊｜函館纜車.企鵝遊行.小樽漫遊.熊牧場.OUTLET.三大螃蟹溫泉五日｜保住四晚溫泉,True,39900.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽, 熊牧場","函館, 北海道, 小樽, 溫泉之旅, 熊牧場, 美食, 自然景觀"
220428002,高鐵假期-高雄萬豪酒店二日自由行,False,,其他,高雄,"其他, 高雄"
25jc422cos5-t,那霸過夜｜基隆出發｜石垣島．那霸｜自由行5日,True,21900.0,海島旅遊,"基隆, 石垣島, 那霸","基隆, 海島旅遊, 石垣島, 那霸"
21N116,"南港,花蓮-臺北客運1071| 乘車票",False,305.0,其他,"臺北, 花蓮","其他, 臺北, 花蓮"
24TMO19FLA-T,南投旅遊｜年度盛事~日月潭花火節音樂會‧明潭花火‧鮮摘鮮吃百香果‧雲之鄉武界‧日月潭遊船2日,False,4999.0,藝文體驗,日月潭,"日月潭, 藝文體驗"
24XMN03TKB-T,"旅展折$3,000》特選土耳其旅遊│土航直飛、早鳥購熱氣球│★撒鹽哥餐廳、★土耳其故宮、洞穴飯店、特洛伊10日",True,59900.0,美食,"土耳其, 故宮","土耳其, 故宮, 美食"
24TSO24JWA-K,高雄旅遊｜微笑南灣知性之旅｜棧貳庫海上巴士．高雄燈塔．高雄科工館1日｜大人囝仔｜台南高雄出發,False,899.0,其他,高雄,"其他, 高雄"
24JC901C26-T,日韓雙國｜基隆出發｜長崎．濟州6日｜兩人陽台艙,True,53940.0,其他,"基隆, 長崎","其他, 基隆, 長崎"
24TS916FSQ-K,屏東觀光圈｜藍皮解憂號.雙流森林.南迴秘境小站.部落導覽1日｜高雄屏東出發｜大人囝仔,False,1399.0,自然景觀,"屏東, 高雄","屏東, 自然景觀, 高雄"
24TNO16R6P-X,北部旅遊｜２人同行享折扣｜入住五星凱撒飯店.導讀中山樓.滿月圓國家森林遊樂區二日｜中部出發,False,2999.0,"自然景觀, 豪華",,", 自然景觀, 豪華"
24TE930TR07-T,促銷一口價．花蓮煙波．撒固兒步道．不敗戀人．童話屋星巴克．五餅二魚．地耕味番樂園．佳興冰果室二日．大人囝仔,False,2999.0,"主題樂園, 婚禮蜜月",花蓮,"主題樂園, 婚禮蜜月, 花蓮"
MM28:MM23:,台北 - 大阪 來回,True,18771.0,其他,"台北, 大阪","其他, 台北, 大阪"
24JK912BRF-T,慢遊首爾半自助｜一日自由活動.連住近明洞飯店兩晚自由逛.江華島斜坡滑車＋故事小路.穿韓服遊韓屋(一站彩妝購物)五日,True,26900.0,"海島旅遊, 購物","明洞, 首爾","明洞, 海島旅遊, 購物, 首爾"
24JHN03ITS-ZP,STE旅展北海道旅遊｜保住國際五星品牌.函館夜景.洞爺湖.昭和新山.小樽漫遊.溫泉美食五日,True,26888.0,"夜間活動, 溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
24TE919ADH-X,花蓮旅遊│第二人折500│【季節限定~太平洋賞鯨豚】歐風童話小屋．鳳林植物染布三日│大人囝仔│台中出發,False,6699.0,其他,"台中, 花蓮","其他, 台中, 花蓮"
TWTCHM06,長榮桂冠酒店 (台中),,0.0,其他,台中,"其他, 台中"
25JK130BRB-T,"寒假迎春折2,000｜韓冬滑雪｜首爾｜滑雪體驗.暢遊樂天世界.南怡島雪境.女王百貨.星空圖書館.文青益善洞.必逛明洞五日",True,33388.0,"海島旅遊, 自然景觀, 購物, 雪景","明洞, 首爾","明洞, 海島旅遊, 自然景觀, 購物, 雪景, 首爾"
24SDO02BRA-T,馬來西亞旅遊｜黃金棕櫚渡假村.雲頂纜車.馬六甲文化影城.運河遊船.國際5星酒店五日,True,24900.0,"文化歷史, 豪華",馬六甲,"文化歷史, 豪華, 馬六甲"
25JP202CIC-T,寒假預購折$2000|名古屋樂高樂園.高原牧場戲雪體驗.海豚秀.磁浮鐵道館.模型DIY.名古屋萬怡x喜來登福朋酒店六日,True,47900.0,"主題樂園, 火車旅遊, 雪景",,", 主題樂園, 火車旅遊, 雪景"
TR875:TR616:TR609:TR896:,台北 - 曼谷 來回,True,8246.0,其他,台北,"其他, 台北"
24SDO11BRA-T,馬來西亞旅遊｜黃金棕櫚渡假村.雲頂纜車.馬六甲文化影城.運河遊船.國際5星酒店五日,True,24900.0,"文化歷史, 豪華",馬六甲,"文化歷史, 豪華, 馬六甲"
24TRD14FU-T,|鳴日號x福森號|森之鳴響.阿里山.嘉義小旅行3日(南港/新烏日出發.高鐵回程),False,40900.0,自然景觀,"嘉義, 阿里山","嘉義, 自然景觀, 阿里山"
24JKO26BX9-K,釜慶邱賞楓紅｜紅流洞溪谷．佛國寺．八公山纜車．道東書院．海雲台列車．樂天超市好好逛(一站購物彩妝)五日｜高雄來回,True,24500.0,"文化歷史, 火車旅遊, 自然景觀, 購物","佛國寺, 海雲台, 高雄","佛國寺, 文化歷史, 海雲台, 火車旅遊, 自然景觀, 購物, 高雄"
24JK926KEI-X,慢遊首爾半自助｜一日自由活動.江華島斜坡滑車.春川三岳山湖水纜車(一站彩妝購物)六日｜台中出發,True,22900.0,"海島旅遊, 自然景觀, 購物","台中, 首爾","台中, 海島旅遊, 自然景觀, 購物, 首爾"
24TRD14FU1-T,|鳴日號x福森號|森之鳴響.阿里山.嘉義小旅行3日(南港/新烏日出發.高鐵回程),False,40900.0,自然景觀,"嘉義, 阿里山","嘉義, 自然景觀, 阿里山"
TWHUNE02,花蓮理想大地渡假飯店,,0.0,豪華,花蓮,"花蓮, 豪華"
24SD916BRA-T,馬來西亞旅遊｜大紅花渡假村.雲頂纜車.娘惹下午茶.馬六甲文化影城.全程五星飯店五日,True,23900.0,"文化歷史, 豪華",馬六甲,"文化歷史, 豪華, 馬六甲"
24JT911IT7-ZP,超值東京｜澀谷宮下公園.淺草觀音寺五日｜加贈回程五公斤托運行李,True,20888.0,文化歷史,"東京, 淺草, 觀音寺","文化歷史, 東京, 淺草, 觀音寺"
24TS919HYT-X,高雄旅遊｜最高折3百｜佛陀紀念館.鳳梨工場.藤枝森林秘境.和逸飯店x頂樓景觀餐廳二日｜台中出發,False,3999.0,"美食, 自然景觀","台中, 高雄","台中, 美食, 自然景觀, 高雄"
24TRD18FU-T,|鳴日廚房×福森號|移動五星餐車.檜木美學列車.嘉義小旅行3日(南港/新烏日出發),False,45900.0,"火車旅遊, 豪華",嘉義,"嘉義, 火車旅遊, 豪華"
24JTO18TR7-ZP,超值東京｜澀谷宮下公園.淺草觀音寺五日｜加贈回程五公斤托運行李,True,22888.0,文化歷史,"東京, 淺草, 觀音寺","文化歷史, 東京, 淺草, 觀音寺"
24JS914ITB-ZP,花卷旅遊｜中尊寺．海鮮市場．角館．嚴美溪．銀山溫泉五日,True,22000.0,"文化歷史, 溫泉之旅, 美食, 自然景觀, 購物","中尊寺, 嚴美溪, 角館, 銀山","中尊寺, 嚴美溪, 文化歷史, 溫泉之旅, 美食, 自然景觀, 角館, 購物, 銀山"
25JK129BRI-T,"過年賀歲折3,000｜首爾｜全程入住明洞彩鴻飯店.新春團圓餐.人氣滑雪.鮮採草莓.最美星空圖書館.必逛最潮聖水洞四日",True,41888.0,"自然景觀, 雪景","明洞, 首爾","明洞, 自然景觀, 雪景, 首爾"
24JKO31BXK-K,釜慶邱賞楓紅｜紅流洞溪谷．佛國寺．八公山纜車．道東書院．海雲台列車．樂天超市好好逛(一站購物彩妝)五日｜高雄來回,True,24500.0,"文化歷史, 火車旅遊, 自然景觀, 購物","佛國寺, 海雲台, 高雄","佛國寺, 文化歷史, 海雲台, 火車旅遊, 自然景觀, 購物, 高雄"
24TR908C7B-T,福森號｜阿里山火車｜好森音、玩玩嘉義、巡禮夢幻城堡、漫漫散策二日,False,9999.0,"文化歷史, 火車旅遊, 自然景觀","嘉義, 阿里山","嘉義, 文化歷史, 火車旅遊, 自然景觀, 阿里山"
231101007,華信假期-澎湖自由行、澎澄飯店丨愛玩菊島,False,,"海島旅遊, 自然景觀",澎湖,"海島旅遊, 澎湖, 自然景觀"
00027945,倫敦仕驊廷三碼頭酒店公寓CHEVAL THREE QUAYS,False,23820.0,其他,倫敦,"倫敦, 其他"
240123001,華信假期-澎湖自由行、小島精品商旅,False,,"海島旅遊, 自然景觀",澎湖,"海島旅遊, 澎湖, 自然景觀"
24JHN03ITW-ZP,STE旅展北海道旅遊｜保住國際五星品牌.函館夜景.洞爺湖.昭和新山.小樽漫遊.溫泉美食五日,True,26888.0,"夜間活動, 溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
240117003,火車旅遊-台東枋寮雙城漫遊、藍皮解憂號｜住宿自選｜台東進枋寮出,False,0.0,火車旅遊,,", 火車旅遊"
OD880:OD881:,台北 - 大阪 來回,True,13669.0,其他,"台北, 大阪","其他, 台北, 大阪"
161130011,大阪自由行-環球影城™門票、環球影城住宿,True,,主題樂園,"大阪, 環球影城","主題樂園, 大阪, 環球影城"
00027947,倫敦仕驊廷格洛斯特公園酒店公寓CHEVAL GLOUCESTER PARK,False,29740.0,其他,倫敦,"倫敦, 其他"
245009,嘉義-2024栩悅號觀光列車 | 阿里山火車(阿里山↔️二萬平),False,99.0,"火車旅遊, 自然景觀","嘉義, 阿里山","嘉義, 火車旅遊, 自然景觀, 阿里山"
24JHN18ITS-ZP,STE旅展北海道旅遊｜保住國際五星品牌.函館夜景.洞爺湖.昭和新山.小樽漫遊.溫泉美食五日,True,26888.0,"夜間活動, 溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
00042400,王子廣場飯店THE PRINCES SQUARE HOTEL,False,7390.0,其他,,", 其他"
25SV127VJ8-ZP,賀歲折5000.越南富國島｜珍珠奇幻樂園.野生動物園.香島纜車.水上樂園.歐風夜間市集.下午茶5日｜無購物.直飛免簽證,True,58900.0,"主題樂園, 海島旅遊, 親子旅遊, 購物",,", 主題樂園, 海島旅遊, 親子旅遊, 購物"
245010,嘉義-2024栩悅號觀光列車 | 阿里山火車(阿里山↔️祝山),False,99.0,"火車旅遊, 自然景觀","嘉義, 阿里山","嘉義, 火車旅遊, 自然景觀, 阿里山"
211217005,華信假期-澎湖自由行、金品精緻旅店,False,,自然景觀,澎湖,"澎湖, 自然景觀"
25SV128VJ9-ZP,賀歲折5000.越南富國島｜野生動物園.香島纜車.水上樂園.海星沙灘.親吻星星秀.美食饗宴.全程五星酒店五日｜直飛免簽證,True,63900.0,"主題樂園, 海島旅遊, 美食, 親子旅遊, 豪華",,", 主題樂園, 海島旅遊, 美食, 親子旅遊, 豪華"
24JHO25CIB-T,北海道旅遊｜紅葉絕景.函館纜車.企鵝遊行.熊牧場.小樽運河.三大螃蟹溫泉五日｜保住一晚五星,True,45900.0,"溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 小樽, 小樽運河, 熊牧場","函館, 北海道, 小樽, 小樽運河, 溫泉之旅, 熊牧場, 美食, 自然景觀, 豪華"
24EKN02CIA-T,揪團特選英國｜倫敦二日自在遊．科玆窩鄉村．大英博物館．牛津．劍橋．OUTLET購物9日,True,69900.0,"文化歷史, 購物","倫敦, 劍橋, 大英博物館, 牛津, 英國","倫敦, 劍橋, 大英博物館, 文化歷史, 牛津, 英國, 購物"
247003,嘉義-2024栩悅號觀光列車 | 阿里山火車 10-12月,False,99.0,"火車旅遊, 自然景觀","嘉義, 阿里山","嘉義, 火車旅遊, 自然景觀, 阿里山"
TWHLN071,福容大飯店花蓮,,0.0,其他,花蓮,"其他, 花蓮"
25JK130BRF-T,"寒假迎春折2,000｜首爾｜保證住萬豪集團萬怡酒店＋住雪場滑雪.淚之女王百貨.南怡島雪境.小金山懸索吊橋(兩站購物)五日",True,37888.0,"海島旅遊, 自然景觀, 購物, 雪景",首爾,"海島旅遊, 自然景觀, 購物, 雪景, 首爾"
24TN914FUL-T,揪團優惠｜新北旅遊｜福隆國際沙雕藝術季.LINE明星夏日派對.無敵海景星巴克1日｜大人囝仔,False,899.0,藝文體驗,新北,"新北, 藝文體驗"
UKLONF62,聖馬斯現代公寓飯店ST MARKS MODERN APARTMENTS,False,5320.0,其他,,", 其他"
24JK923ZE-ZP,濟州旅遊｜保證入住~度假萬豪酒店乙晚.鳥島跨海大橋.漢拏樹木園.阿里郎『魂』跆拳武藝秀.東邊松堂童話村(一站彩妝)五日,True,21900.0,"海島旅遊, 豪華","漢拏樹木園, 跨海大橋","海島旅遊, 漢拏樹木園, 豪華, 跨海大橋"
24JF912BRA-T,"經典九州旅遊|長崎豪斯登堡,九十九島遊船,美食溫泉五日|一晚五星",True,41900.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華",長崎,"海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華, 長崎"
25JH304BRA-T,ITF旅展優惠價｜冬遊北海道破冰船.雪盆戲雪.旭山動物園.小樽漫遊.溫泉美食五日,True,39900.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景","北海道, 小樽, 旭山動物園","北海道, 小樽, 旭山動物園, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景"
25JK1257CC-T,"過年折3,000｜釜山旅遊｜新春團圓澎湃長腳蟹宴.冬季限定滑雪體驗.鮮採草莓.無敵海景汗蒸幕(一站購物彩妝)五日",True,48888.0,"自然景觀, 購物, 雪景",釜山,"自然景觀, 購物, 釜山, 雪景"
00081292,史特拉福德倫敦魯米茲飯店ROOMZZZ LONDON STRATFORD,False,5676.0,其他,倫敦,"倫敦, 其他"
24EUN04BRPE-T,魅力歐洲｜英法｜好事成雙-莊園城堡遊.巨石陣.巴斯浴場10日,True,119900.0,文化歷史,"巨石陣, 巴斯, 歐洲, 英法","巨石陣, 巴斯, 文化歷史, 歐洲, 英法"
240711002,高鐵自由行-阿里山福森號 好森音 阿里山-奮起湖｜二日遊,False,0.0,自然景觀,"奮起湖, 阿里山","奮起湖, 自然景觀, 阿里山"
237051,屏東-藍皮解憂號觀光列車| 枋寮-臺東單趟超值版(10/1-4/30),False,99.0,火車旅遊,"屏東, 臺東","屏東, 火車旅遊, 臺東"
00081664,HOTEL UNIVERSAL PORT VITA,,0.0,其他,,", 其他"
24TRD07FU-T,|鳴日號|山海美景.職人手作.洄瀾小旅行2日(南港出發),False,23900.0,自然景觀,,", 自然景觀"
24TN921WEW-T,新竹旅遊|春夏秋冬不同美~薰衣草森林.古色古香內灣老街.滇緬美味忠貞市場1日|大人囝仔,False,1099.0,"自然景觀, 購物","內灣, 內灣老街, 新竹","內灣, 內灣老街, 新竹, 自然景觀, 購物"
UKLONP57,倫敦希斯洛 - 巴斯路駐橋套房公寓飯店 - IHG 旗下飯店STAYBRIDGE SUITES LONDON HEATHROW BATH ROAD AN IHG HOTEL,False,4970.0,其他,"倫敦, 巴斯","倫敦, 其他, 巴斯"
24SVN12CIG-T,越南旅遊｜【北越Chill5日】河內漫遊、下龍灣仙境、陸龍灣美景、水上木偶戲、無購物(午晚/含簽證),True,22900.0,購物,,", 購物"
24EGN17BR-T,每月一物特選德國｜羅曼蒂克大道小鎮．紐倫堡．羅騰堡．新天鵝堡．慕尼黑輕旅行8日,True,51900.0,其他,"天鵝堡, 德國, 慕尼黑, 羅曼蒂克大道","其他, 天鵝堡, 德國, 慕尼黑, 羅曼蒂克大道"
24SVN07VJ1-ZP,北越｜陸龍灣長安生態.下龍灣頂級國賓號豪華日遊船.越式按摩.纜車摩天輪.升等一晚五星5日｜無購物(含稅簽),True,21900.0,"豪華, 購物",,", 豪華, 購物"
230923009,澎湖旅遊機加酒-精選人氣飯店,False,,自然景觀,澎湖,"澎湖, 自然景觀"
24TED01TW59-T,台東旅遊│小小星象師體驗.藍皮解憂號.星象解說.太麻里日出.四季花海.知本溫泉.童話屋星巴克│大人囝仔三日,False,8500.0,"溫泉之旅, 自然景觀",知本溫泉,"溫泉之旅, 知本溫泉, 自然景觀"
24JHD25JX-T,特選冬季北海道｜雪盆戲雪.白色燈樹節.函館夜景.洞爺湖.海洋公園.企鵝遊行.小樽漫遊.溫泉美食五日,True,50900.0,"夜間活動, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 雪景","函館, 北海道, 夜景, 小樽, 海洋公園","函館, 北海道, 夜景, 夜間活動, 小樽, 海島旅遊, 海洋公園, 溫泉之旅, 美食, 自然景觀, 雪景"
24SVN14VJ4-ZP,北越｜陸龍灣生態.下龍灣亞特圖斯豪華日遊船.越式按摩.纜車摩天輪.升等一晚五星5日｜無購物(含稅簽),True,21900.0,"豪華, 購物",,", 豪華, 購物"
25JK1287CC-T,"過年折3,000｜釜山旅遊｜新春團圓澎湃長腳蟹宴.冬季限定滑雪體驗.鮮採草莓.無敵海景汗蒸幕(一站購物彩妝)五日",True,49888.0,"自然景觀, 購物, 雪景",釜山,"自然景觀, 購物, 釜山, 雪景"
00310920,烏石港OA HOTELOA HOTEL,False,0.0,其他,,", 其他"
24EKN29CIA-T,揪團特選英國｜倫敦二日自在遊．科玆窩鄉村．大英博物館．牛津．劍橋．OUTLET購物9日,True,69900.0,"文化歷史, 購物","倫敦, 劍橋, 大英博物館, 牛津, 英國","倫敦, 劍橋, 大英博物館, 文化歷史, 牛津, 英國, 購物"
24SVN07VJ4-ZP,探索北越｜下龍灣日遊船.纜車摩天輪.陸龍灣小舟.威尼斯大世界.3D音樂燈光秀5日｜無購物(含稅簽),True,21900.0,"夜間活動, 購物","威尼斯, 尼斯","夜間活動, 威尼斯, 尼斯, 購物"
24TNO26MIS-T,大東北角｜新北旅遊｜芒草季.南子吝步道360度山海美景.尋訪三貂嶺秘境聚落.平溪線鐵道旅行1日,False,499.0,"火車旅遊, 自然景觀","平溪, 新北","平溪, 新北, 火車旅遊, 自然景觀"
24TM916PUM-K,台中旅遊｜【大人囝仔】高美濕地生態之美.美食大探索～大甲鎮瀾宮.日式老宅～梧棲文化出張所1日｜高雄台南出發,False,599.0,"文化歷史, 美食","台中, 高美, 高美濕地, 高雄","台中, 文化歷史, 美食, 高美, 高美濕地, 高雄"
