,使用者ID,地點／景點,活動,購買區間,搜尋紀錄
23,08e04193-7a34-4e56-bc20-46bfb85941d3,"大阪, 環球影城, 高雄","主題樂園, 溫泉之旅, 美食, 自然景觀, 雪景",50000 - 54999,無
24,091ffa67-3b80-4a63-91ca-b3fbe4f264db,"羅瓦涅米, 芬蘭, 赫爾辛基","自然景觀, 雪景",0 - 4999,無
25,09a9b39d-cd41-4434-92bb-08fe6ecc50a6,"拉斯維加斯, 洛杉磯",其他,55000 - 59999,無
26,09c16c3d-f94d-42fa-ba52-f6bf618b2738,"明洞, 首爾","主題樂園, 美食, 購物",25000 - 29999,"嘉點, 大洋洲全選, 東北亞全選, 東南亞全選, 歐洲全選, 非洲全選"
27,09c9282b-9beb-488a-9bf1-d529a5914df3,"仁寺洞, 北村韓屋村, 城山日出峰, 塗鴉秀, 威尼斯, 尼斯, 弘大, 明洞, 歐洲, 法國, 首爾, 高雄","主題樂園, 文化歷史, 海島旅遊, 火車旅遊, 美食, 自然景觀, 豪華, 購物",15000 - 19999,韓國
28,09f7b08a-f4e0-45c7-b114-dcdac1701acd,"北海道, 旭山動物園","海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊",70000 - 74999,無
29,0a582957-8ef1-488d-9f07-c9ed4b89b9ac,"基隆, 挪威",其他,45000 - 49999,無
30,0a6ef939-8702-4ce7-8611-afb875f4920a,"塗鴉秀, 海雲台, 釜山","主題樂園, 火車旅遊, 自然景觀, 購物",20000 - 24999,無
31,0ab11e6c-407b-4b29-b060-2210b99529ae,"仁寺洞, 北村韓屋村, 古宇利大橋, 塗鴉秀, 弘大, 明洞, 景福宮, 東京, 東大門, 沖繩, 清溪川, 美麗海水族館, 那霸, 首爾, 高雄","其他, 文化歷史, 海島旅遊, 網美打卡, 美食, 親子旅遊, 豪華, 購物",10000 - 14999,"曼谷, 沖繩, 韓國"
32,0ac37e6a-99a4-4589-abe7-9a79b9578f27,"墾丁, 大鵬灣, 宜蘭, 屏東, 高雄","其他, 溫泉之旅, 火車旅遊, 美食, 自然景觀",0 - 4999,無
33,0aeb6daa-2fa9-444b-b79d-dbfdb48e1d5c,"吉隆坡, 新加坡, 馬六甲",其他,40000 - 44999,無
34,0bf0fc56-6b6c-43a6-9469-ae3a06786b48,"三仙台, 仙台, 新竹, 花蓮","火車旅遊, 自然景觀",0 - 4999,無
35,0c4d39a8-6cae-42c9-8c60-1eb18e5f8a8e,"少女峰, 德瑞, 米蘭, 高雄",其他,110000 - 114999,無
36,0cefdd81-8e19-4582-bb26-86778f06cf43,"富士, 東京, 淺草, 高雄","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 自然景觀",35000 - 39999,無
37,0d01d7c6-7b49-4ea9-ab9b-eacd0700aa84,台北,其他,0 - 4999,"上海-SHANGHAI(SHA), 台北-Taipei(TPE)"
38,0d03682d-7b61-465e-b078-3bf911a00ce8,"法國, 羅浮宮","文化歷史, 購物",60000 - 64999,無
39,0d6bd7ea-8373-47a4-9479-7cd97b0385f6,"佛國寺, 海雲台, 釜山, 高雄","文化歷史, 火車旅遊, 自然景觀, 購物",20000 - 24999,無
40,0de58869-2c1c-43e7-831b-eb3081e26fd1,台北,其他,10000 - 14999,無
41,0e842a30-3f75-42a7-9b7e-1399140e0677,"藍晒圖, 高雄",文化歷史,0 - 4999,無
42,0ecea95d-c71d-4238-8131-00bea5995ca4,宜蘭,"美食, 自然景觀",10000 - 14999,無
43,0f864ac0-02b0-4733-801c-0972c563c5cd,"富士, 東京, 高雄","主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀, 雪景",50000 - 54999,無
44,10281034-55ac-4847-af47-150cdefebb9c,花蓮,其他,25000 - 29999,迪士尼火車
45,10656e39-b80e-4bf7-904e-2d3651d6e42e,花蓮,其他,0 - 4999,無
46,106935e2-10fa-491b-b0fe-4b2d20e11c9e,"函館, 北海道, 夜景, 小樽, 小樽運河, 慕尼黑","其他, 夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀, 豪華",25000 - 29999,無
47,10b181d3-f623-4559-82de-b7e9873afd85,"中尊寺, 伏見稻荷大社, 台中, 大阪, 奈良, 平等院, 彰化, 東大寺, 東福寺, 清水寺, 溪湖糖廠, 高雄, 鹿港, 鹿港老街","文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華",25000 - 29999,無
48,1130442b-feac-420a-85cb-773e0a50019b,"台中, 台北, 小琉球, 澎湖, 翟山坑道, 莒光樓, 金門, 高雄","夜間活動, 戶外活動, 海島旅遊, 自然景觀",10000 - 14999,台灣全部
49,11a7f6a7-247a-47a4-bd72-8514265e7bf1,"升旗山, 法國, 濱海灣花園, 馬六甲","文化歷史, 海島旅遊, 美食, 自然景觀, 豪華",20000 - 24999,"新馬自由行, 馬來西亞"
50,11ebd93e-4bdb-4155-9823-98cce00190f2,"台北, 嘉義, 阿里山",自然景觀,0 - 4999,無
51,11f93e63-19d6-4e76-bab2-64aa7f1125f5,"澎湖, 金門","海島旅遊, 自然景觀",無資料,"澎湖, 金門(含廈門)"
52,11feaf9f-d197-41d3-83f5-5dc9aa3b698e,"北海道, 台中, 土耳其, 大鵬灣, 小樽, 小琉球, 屏東, 漢堡, 蓮池潭","其他, 文化歷史, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 豪華, 雪景",25000 - 29999,無
53,120929fa-683f-4cc1-8556-fd19c9872aaa,阿里山,自然景觀,5000 - 9999,無
54,12133cb9-5850-4a2b-8203-ecfda60310ab,釜山,"主題樂園, 美食, 自然景觀, 購物, 雪景",20000 - 24999,日本全選
55,121c7544-c6b9-41d9-9540-ea0a0c9007bc,"大皇宮, 藍廟, 鄭王廟, 鐘樓","夜間活動, 文化歷史, 美食, 自然景觀, 親子旅遊, 豪華, 購物",25000 - 29999,無
56,124543a4-0c77-4e9c-a25f-e92353948fb3,"台中, 后豐鐵馬道, 夜景","夜間活動, 文化歷史, 美食",0 - 4999,無
57,125c5837-777b-4290-a551-9a9608aaea8e,"仙台, 十和田湖, 嚴美溪, 奈良, 奧入瀨溪流, 富士, 富士五湖, 嵐山, 東京, 東福寺, 箱根, 美術館, 西湖","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 自然景觀, 藝文體驗, 豪華",50000 - 54999,無
58,1279541d-f4d6-44ce-83f9-04f02734fdd4,"時尚購物中心, 沖繩, 玉泉洞, 萬座毛, 跨海大橋",購物,20000 - 24999,無
59,12e40a3d-ccb0-4ebd-ade5-24a79dba0bab,"台北, 小琉球","夜間活動, 婚禮蜜月, 海島旅遊, 火車旅遊",5000 - 9999,無
60,12f02d39-b2c3-4076-9e10-d9f8123a409e,"函館, 函館山, 北海道, 北海道大學, 北海道神宮, 嘉義, 夜景, 奮起湖, 小樽, 小樽運河, 小樽音樂盒堂, 旭山動物園, 海洋公園, 美瑛青池, 花蓮, 阿里山, 香港","其他, 夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華, 雪景",30000 - 34999,北海道
61,133f7330-dade-453b-9122-87adce7adfa5,"富士, 新宿, 東京, 箱根, 箱根海盜船","主題樂園, 溫泉之旅, 自然景觀, 購物",45000 - 49999,無
62,134b89a2-ce13-481b-bba9-4eea6e1a3c21,馬六甲,"文化歷史, 豪華",20000 - 24999,無
63,134ebabe-bf32-442c-9238-d159872e9f6e,"嘉義, 奮起湖, 阿里山, 高雄","火車旅遊, 自然景觀",10000 - 14999,無
64,140157d3-3e61-4ea1-b864-84cf7f09c57b,"東京, 淺草",其他,15000 - 19999,無
65,14e18dd3-95fe-4d1e-97e4-4cfa7271dac4,"埃及, 尼羅河, 德瑞, 紅海, 羅曼蒂克大道, 萊茵河, 金字塔, 香港","文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 豪華",55000 - 59999,無
66,1502b36f-73fc-4425-af3f-969724c9c837,"九重夢大吊橋, 倫敦, 別府, 別府纜車, 劍橋, 匈牙利, 哈修塔特, 多瑙河, 大英博物館, 奧捷, 布拉格, 海地獄, 湯布院, 牛津, 福岡, 福岡塔, 維也納, 耶馬溪, 英國, 金鱗湖, 高雄","主題樂園, 文化歷史, 溫泉之旅, 火車旅遊, 自然景觀, 藝文體驗, 親子旅遊, 豪華, 購物",50000 - 54999,"九州, 九州賞楓, 賞楓"
67,15336616-85e2-4519-b2a0-c08f133cba60,"嘉義, 阿里山","主題樂園, 自然景觀",0 - 4999,台灣全選
68,153aa6ff-cf9f-495f-9915-75c22a70d093,"台北, 日月潭, 陽明山, 高雄","夜間活動, 戶外活動, 火車旅遊, 自然景觀",0 - 4999,台灣全選
69,15556b4a-1733-422b-a102-3eb800598e44,"沖繩, 那霸",其他,15000 - 19999,無
70,155a10f9-b9c8-4814-a7e4-a49dceeee38c,"函館, 北海道, 夜景","夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀",35000 - 39999,無
71,15a43772-c2a4-4e60-8938-10a812a34b37,"京都, 伏見稻荷大社, 函館, 北海道, 北海道神宮, 夜景, 大阪, 奈良, 小樽, 東京, 沖繩, 清水寺, 熊牧場, 神戶, 高雄","其他, 夜間活動, 文化歷史, 溫泉之旅, 美食, 自然景觀, 豪華, 購物",20000 - 24999,日本
72,168a5128-3953-49b3-9a8d-b10d712e3ff3,"大鵬灣, 屏東, 巴黎","其他, 美食",615000 - 619999,無
73,16fd556e-5e9d-4151-b630-ecd535c4d983,"台北, 澎湖, 義大, 臺東, 花蓮, 高雄","其他, 火車旅遊, 自然景觀",0 - 4999,無
74,173c86e4-ccd5-44d3-a2c1-63816e847e33,"台中, 大阪, 環球影城, 神戶","主題樂園, 海島旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華",35000 - 39999,無
75,17530a2a-b173-469f-8586-0a79c1e668c6,"卡帕多奇亞, 土耳其",豪華,75000 - 79999,無
76,1843951c-5a5f-4553-ac77-44b7fae37913,"沖繩, 美麗海水族館","海島旅遊, 親子旅遊",20000 - 24999,無
77,18bebbdc-492f-49d1-94e1-35970a865c77,"中尊寺, 奧入瀨溪流, 富士, 富士五湖, 東京, 秋田, 箱根, 西湖, 角館, 銀山, 銀山溫泉街","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 自然景觀",35000 - 39999,無
78,18f2d722-9701-4836-ba56-9876ddf7f9dd,"台北, 福岡",其他,10000 - 14999,福岡市-福岡縣-FUKUOKA(FUK)
79,1912c798-344d-43a6-875a-2a8650b3ab72,"台中, 大溪老街, 大鵬灣, 屏東, 桃園","其他, 自然景觀",0 - 4999,無
80,192b7846-af30-48d8-984c-4b2b9cac6dd0,"基隆, 挪威, 石垣島, 那霸","其他, 海島旅遊",25000 - 29999,無
81,194a0c8c-6fe2-4b39-83da-28f52f792c88,台北,其他,10000 - 14999,無
82,19af2635-5c48-45d6-830f-762330d738f1,"倫敦, 大英博物館, 天鵝堡, 巴黎, 德國, 慕尼黑, 比利時, 羅曼蒂克大道, 羅浮宮, 英荷比法","其他, 文化歷史, 購物",25000 - 29999,"倫敦, 喜來登飯店 威尼斯, 威尼斯, 威尼斯喜來登飯店, 威尼斯飯店, 義大利威尼斯"
83,19d855f8-3749-4536-b98c-46441fad843c,"台中, 宜蘭, 拉拉山, 桃園, 石門水庫, 高雄","其他, 火車旅遊, 美食, 自然景觀",5000 - 9999,無
84,19eab26b-c18e-48ad-9eb8-b9b6fe03a8be,"北海道, 小樽","文化歷史, 溫泉之旅, 美食, 自然景觀, 豪華, 雪景",55000 - 59999,無
85,1a19a52a-1e65-4602-a103-e14b22f79537,"六本木, 新宿, 東京","其他, 海島旅遊, 網美打卡, 豪華",0 - 4999,東京
86,1a19e228-6987-4940-acd8-ee53240afd88,"伊斯坦堡, 土耳其",文化歷史,125000 - 129999,無
87,1b3fb90c-b04c-490a-ba2b-85b232ab1d0c,"明洞, 首爾","主題樂園, 海島旅遊, 自然景觀, 購物, 雪景",30000 - 34999,首爾
88,1bd00436-b6a3-4854-8c41-92f45849a611,"函館, 北海道, 夜景, 小樽","夜間活動, 溫泉之旅, 自然景觀",25000 - 29999,無
89,1c0be5a7-39a2-484f-bdc5-9328f24837bf,羅浮宮,購物,70000 - 74999,無
90,1cbd599b-7f85-4f2c-a7ab-f3c3d35fd4a6,"台北, 新北, 高雄","溫泉之旅, 美食, 自然景觀",0 - 4999,無
91,1d147bb4-f760-4d53-9b77-cf51bfafe231,"北投溫泉, 台北, 桃園, 荷蘭","其他, 溫泉之旅, 自然景觀, 豪華",0 - 4999,"北投溫泉, 台南, 台灣, 大溪, 新竹, 桃園, 淡水老街, 陽明山, 青春好好玩寵物友善民宿"
92,1d1da6ae-05df-4791-a936-8fd1a530d321,"北村韓屋村, 沖繩, 美麗海水族館, 首爾, 高雄","網美打卡, 美食, 親子旅遊",10000 - 14999,無
93,1d5c4e81-44ff-4eb6-baf8-0dff19d613df,"新潟, 群馬, 青森",雪景,65000 - 69999,日本 滑雪
94,1d7b6db8-25f1-4d27-b472-00e4c6bfd023,印度,其他,85000 - 89999,無
95,1e21fa0c-e7e3-422d-a1cc-7d1f0e62b478,阿里山,自然景觀,5000 - 9999,無
96,1f0859cb-73f0-48dc-b466-c77d42828b4e,"京都, 伏見稻荷大社, 北野, 北野異人館, 大阪, 大阪城, 奈良, 宇治, 嵐山, 平等院, 有馬溫泉, 東大寺, 清水寺, 環球影城, 神戶, 黑門市場","主題樂園, 其他, 文化歷史, 溫泉之旅, 自然景觀, 購物",35000 - 39999,關西
97,1f1d7174-d71e-4be3-9f88-bed7e16dd900,"中央公園, 台中, 義大, 高雄","其他, 自然景觀",5000 - 9999,高雄
98,1f2de94f-84b1-4f10-894a-3bf1b687c95b,"仙台, 北海道, 小樽, 小樽運河, 新潟, 白色戀人公園, 青森","婚禮蜜月, 自然景觀, 豪華, 雪景",65000 - 69999,無
99,1f6c61ab-965e-4db1-a861-17c4f074669b,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝","文化歷史, 自然景觀",105000 - 109999,無
100,1fc86e6a-c038-4d86-a1b9-f405d44f4ff1,"別府, 夜景, 富士, 時尚購物中心, 東京, 沖繩, 河口湖, 淺草, 淺草寺, 熊本, 熊本城, 跨海大橋","夜間活動, 文化歷史, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 豪華, 購物",30000 - 34999,"溫泉百選, 百選溫泉"
101,204bfb51-801f-4784-8470-c719d0dc99ef,"惡魔島, 環球影城","主題樂園, 海島旅遊",160000 - 164999,美洲全選
102,206cb9b4-cb88-4926-8a42-56f3564b01ce,"富士, 東京, 鎌倉","主題樂園, 溫泉之旅, 美食, 自然景觀, 雪景",40000 - 44999,無
103,20e65911-9c24-478a-a529-c57ae00d7929,"佛國寺, 明洞, 景福宮, 海雲台, 高雄","文化歷史, 火車旅遊, 自然景觀, 親子旅遊, 購物",10000 - 14999,無
104,213e0073-5abc-4249-aa76-1212d4630f24,"海雲台, 釜山, 高雄","火車旅遊, 自然景觀, 親子旅遊, 豪華, 購物",15000 - 19999,釜山
105,21b91bbd-b78c-4bca-9354-1f71468d9561,"台中, 嘉義, 奮起湖, 阿里山, 高雄","火車旅遊, 自然景觀",5000 - 9999,無
106,21bc18fa-2ae9-452e-ae66-4e730cd5eaec,"台北, 嘉義, 日月潭, 阿里山",自然景觀,15000 - 19999,無
107,21be63ad-4480-4ca0-a96b-217a32622eeb,"北海道, 弘大, 札幌, 海洋公園, 熊牧場, 首爾","主題樂園, 海島旅遊, 火車旅遊",55000 - 59999,春節
108,223652bb-b929-483b-a944-c3173d72f939,"古宇利大橋, 川平灣, 時尚購物中心, 沖繩, 波上宮, 玉泉洞, 石垣島, 美麗海水族館, 跨海大橋","文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 購物",25000 - 29999,沖繩
109,2269118b-ecc6-4462-b807-69877ffe132f,屏東,其他,10000 - 14999,無
110,226eb18f-125b-4c39-b48b-efca2b55e41e,"明洞, 首爾","主題樂園, 海島旅遊, 自然景觀",15000 - 19999,首爾
111,22e60645-5a04-4579-ab8e-acf41eebf265,"哈修塔特, 國王湖, 奧捷, 威尼斯, 尼斯, 布拉格, 布達佩斯, 庫倫洛夫, 德國, 米蘭, 維也納, 羅馬, 義大, 義大利","夜間活動, 文化歷史, 海島旅遊, 溫泉之旅, 自然景觀, 購物",65000 - 69999,"奧地利, 義大利"
112,23018f4c-db95-4d8c-aa9d-0fc0ec318fe6,"函館, 北海道, 夜景, 小樽, 熊牧場","夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀",35000 - 39999,無
113,233b5deb-ea48-4741-9ca5-a3dac431856a,"台北, 嘉義, 墾丁, 奮起湖, 屏東, 臺東, 阿里山, 高雄","其他, 溫泉之旅, 火車旅遊, 自然景觀, 藝文體驗",0 - 4999,藍皮解憂號
114,2378730b-47b1-4a91-a9e9-e2a6b66830d4,"北海道, 小樽, 小樽運河, 旭山動物園, 美瑛青池","溫泉之旅, 美食, 自然景觀, 親子旅遊",45000 - 49999,無
115,242b51dd-555b-4dec-808a-10cdd65da29e,"土耳其, 埃及, 尼羅河, 故宮, 紅海, 金字塔, 阿布辛貝","美食, 豪華",65000 - 69999,無
116,24818d4b-f78d-4aa7-bebd-5789fa6a3fb9,"平溪, 新北, 桃園","火車旅遊, 美食, 自然景觀",0 - 4999,無
117,24b840ce-ce2d-4c9b-a0e7-f8456c4082d3,"北海道, 小樽","溫泉之旅, 美食, 自然景觀",50000 - 54999,無
118,24be8881-08cc-45da-bbb6-c52e15d02059,"明洞, 景福宮, 東大門, 首爾","主題樂園, 購物",5000 - 9999,無
119,257cc261-e7ab-47fc-9b30-fd0e188f9a20,台中,自然景觀,5000 - 9999,無
120,258f3ede-f6dc-4719-84d8-23b275cf6761,跨海大橋,"自然景觀, 豪華, 購物",20000 - 24999,韓國
121,265cf366-48e7-4291-86d6-1e6d858fb7b1,"富士, 河口湖",自然景觀,5000 - 9999,"DOT HOSTEL BAR, dot, 上野, 日本, 東京, 東京 (都), 河口湖, 河口湖dot"
122,275267bd-bf3b-44cb-b9b4-0672cecf7cad,"故宮, 阿里山",自然景觀,30000 - 34999,無
123,27d9cac9-5fee-4308-80b1-3868799a7fe8,"函館, 北海道, 夜景, 富士, 小樽, 新宿, 明洞, 東京, 箱根, 箱根海盜船, 首爾","主題樂園, 夜間活動, 溫泉之旅, 美食, 自然景觀, 購物, 雪景",80000 - 84999,"東北亞全選, 東南亞全選, 澳洲全選"
124,27fef707-ac5b-433c-9334-ce56f8eff659,湄公河,"夜間活動, 豪華",30000 - 34999,"奧克蘭-AUCKLAND(AKL), 越南"
125,285be10d-405b-44e9-a43b-45e2e943605d,"東京, 沖繩, 那霸, 香港","其他, 豪華",5000 - 9999,無
126,28695b0c-3d4b-4608-8bef-fe282f3ffd42,"沖繩, 跨海大橋","文化歷史, 豪華",25000 - 29999,無
127,28bb9ad9-55a4-40c9-b43a-fe01076558bf,"明洞, 歐洲, 法國, 首爾, 高雄","海島旅遊, 網美打卡, 美食, 自然景觀, 購物",15000 - 19999,韓國
128,29d96348-3c96-41fe-b8a9-9da12cc2bc88,"中尊寺, 仙台, 八甲田山, 十和田湖, 台中, 嚴美溪, 夜景, 奧入瀨溪流, 山形, 弘大, 明洞, 景福宮, 東大門, 歐洲, 法國, 漢拏樹木園, 角館, 跨海大橋, 銀山, 銀山溫泉街, 首爾, 高雄","主題樂園, 其他, 夜間活動, 婚禮蜜月, 戶外活動, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 豪華, 購物, 雪景",20000 - 24999,無
129,2a14d873-06b4-4fec-a936-2edf27ab9433,"基隆, 沖繩, 那霸, 長崎","其他, 海島旅遊",45000 - 49999,無
130,2a18414e-dd0e-40d4-8a06-e94be95aafd3,長崎,"海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華",40000 - 44999,無
131,2a92d075-1425-4891-9d15-146363dd26cc,香港,主題樂園,15000 - 19999,無
132,2b2400db-2251-4975-ab74-1e48f5f746f0,銀座,其他,5000 - 9999,新宿-東京
133,2b442186-ba72-4f33-a089-1348e4832098,"台中, 台北, 新竹, 桃園","其他, 火車旅遊, 自然景觀",0 - 4999,無
134,2b5ed984-dc55-4ef0-99bc-b3822292593a,"伏見稻荷大社, 函館, 北海道, 夜景, 大阪, 大阪城, 宇治, 宇治川, 小樽, 嵐山, 平等院, 清水寺, 熊牧場, 環球影城, 神戶, 神戶港, 黑門市場","主題樂園, 夜間活動, 文化歷史, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 購物",30000 - 34999,無
135,2b73842b-dbd1-485a-9470-16e50ac0bfee,"內灣, 內灣老街, 平溪, 新北, 新竹","火車旅遊, 自然景觀, 藝文體驗, 購物",0 - 4999,無
136,2b7e88ac-ded1-4ea5-a2e2-313670948bfa,"嘉義, 美術館, 阿里山","文化歷史, 火車旅遊, 自然景觀, 藝文體驗",0 - 4999,無
137,2bae53c6-ec9b-403b-a1d2-d408631247b8,"36古街, 威尼斯, 尼斯","夜間活動, 文化歷史, 豪華, 購物",20000 - 24999,無
138,2bfc957b-ba51-4431-9154-2150f04a2721,"大阪, 環球影城",主題樂園,無資料,大阪
139,2ce5caf6-b732-488c-a717-ca09568c3ba6,"台中, 屏東, 臺北, 臺東, 花蓮","其他, 火車旅遊, 豪華",0 - 4999,無
140,2d021958-4c4c-4d1d-acc1-ee6165053a5b,"太平山, 宜蘭, 高雄",自然景觀,10000 - 14999,無
141,2d0b1cc3-399d-4e69-8ce0-7faaf9057424,"台中, 澎湖","自然景觀, 豪華",10000 - 14999,大陸
142,2d866c05-fa64-4afa-a14f-4ca7b0ae6a6e,"台中, 首爾",其他,0 - 4999,"曼谷-BANGKOK(BKK), 首爾-SEOUL(SEL)"
143,2e5ba7c6-49cb-45b5-a62b-fc0af2f685b9,"屏東, 臺東, 高雄","火車旅遊, 自然景觀",0 - 4999,無
144,2e9c1b38-2d7f-4de6-8d59-2e711cda8168,東京,"海島旅遊, 豪華",0 - 4999,"京都, 京都 (府), 京都站, 日本, 東京"
145,2f95ea5c-eee6-4893-ae84-20f8554f1780,"函館, 函館山, 北海道, 北海道神宮, 夜景, 小樽, 小樽運河, 小樽音樂盒堂, 旭山動物園, 札幌, 海洋公園, 熊牧場, 美瑛青池","夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 雪景",35000 - 39999,無
146,302d725d-fa6d-4e59-a74c-a2a4519facbf,鄭王廟,"夜間活動, 文化歷史",25000 - 29999,無
147,30344fbd-2693-4cb8-8a2f-93a481b55617,"台北, 芝加哥",其他,30000 - 34999,芝加哥-伊利諾州-CHICAGOIL(CHI)
148,30ce01c7-e450-40ea-b133-809f6c43e5c1,"威尼斯, 尼斯, 義大, 義大利","文化歷史, 火車旅遊, 購物",75000 - 79999,無
149,31ea1f3c-7dae-4bbf-a622-231ff6f2b663,"明洞, 首爾","自然景觀, 雪景",40000 - 44999,無
150,31f38e4a-3e68-430e-9ad7-738972337ab9,"六甲山, 北海道, 塗鴉秀, 富士, 東京, 沖繩, 海雲台, 淺草, 環球影城, 神戶, 箱根, 花卷溫泉, 那霸, 釜山","主題樂園, 其他, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 購物, 雪景",40000 - 44999,無
